postal,latitude,longitude
627515,1.324691672,103.6736955
417422,1.324281881,103.912359
438096,1.304994939,103.8881838
456620,1.313045426,103.9317845
437499,1.307460296,103.8939867
418713,1.329241283,103.9078802
437296,1.30657074,103.9003013
548934,1.357007073,103.8787515
548936,1.356932166,103.8786716
455004,1.309842126,103.926817
455033,1.309842126,103.926817
289934,1.332337146,103.8116055
269939,1.319239486,103.7931886
339847,1.324257644,103.866097
439551,1.303610982,103.8951423
498770,1.353169264,103.972906
249820,1.298380676,103.8211523
249769,1.29990837,103.8215664
599739,1.343154098,103.775051
429471,1.307295158,103.9056421
259673,1.316128502,103.8124479
558260,1.359678276,103.8646351
558148,1.360517669,103.861127
269643,1.314255813,103.7996995
789886,1.388541407,103.8398997
459456,1.316393198,103.9214428
429165,1.308839707,103.9038412
089481,1.279767689,103.8434123
486417,1.32327512,103.9553519
629466,1.316761227,103.6729974
549270,1.359465918,103.8815924
538493,1.344977478,103.8809536
268521,1.32233269,103.7953685
768154,1.441769494,103.8259584
278208,1.311271829,103.7987848
419040,1.32400767,103.9189315
418975,1.322877778,103.9180371
509301,1.362639478,103.9693096
199147,1.302820276,103.8582154
428326,1.308294046,103.9114695
247716,1.297544974,103.8189428
649490,1.348723545,103.7020247
427098,1.307890571,103.9100929
089122,1.279607047,103.8413432
466300,1.321035552,103.9477123
628718,1.332717218,103.7012427
267891,1.315639329,103.7945044
536998,1.343283996,103.8845045
310015,1.335921838,103.8590585
426338,1.314117596,103.9094661
438097,1.304081718,103.8878112
298422,1.325344506,103.8261855
307951,1.315320272,103.839975
128470,1.304033022,103.757085
609263,1.300007633,103.753874
547243,1.36413661,103.877878
546940,1.363387034,103.8758878
266882,1.319340281,103.7896291
248265,1.30092766,103.8224933
298205,1.325754002,103.815258
424133,1.307719506,103.9101668
807030,1.383669508,103.8760049
758168,1.45929484,103.802983
554360,1.37598331,103.8706473
628078,1.32956164,103.6997738
786918,1.403451468,103.8190059
535562,1.353585159,103.8810736
535499,1.347799113,103.8854139
637432,1.29926136,103.6294189
266495,1.319340179,103.8036655
738322,1.448608629,103.8091409
359933,1.3438894,103.8617347
650150,1.348784675,103.7436728
429712,1.310940264,103.8992023
426795,1.315569596,103.9047486
310150,1.333785196,103.8445162
218945,1.314696422,103.852449
247969,1.303873539,103.8205644
730150,1.435326096,103.7737407
427293,1.314672557,103.9039046
269367,1.322105862,103.799984
269368,1.322024454,103.8000248
428854,1.305387256,103.9063235
429894,1.309041757,103.9012884
127369,1.303143897,103.7647144
650152,1.348301895,103.7442573
269371,1.322161068,103.8003093
428685,1.310034504,103.9045145
418510,1.329385147,103.9158092
637997,1.339412207,103.6904133
428859,1.305803419,103.906351
650153,1.347479478,103.7442765
424554,1.313044348,103.8992095
807009,1.38591815,103.8687859
730153,1.435412512,103.7748648
269175,1.324368621,103.8000921
786373,1.405280956,103.8223554
535429,1.346632397,103.885813
269374,1.322420853,103.8003641
188977,1.299657559,103.8520805
424556,1.313002921,103.8992442
428687,1.309751903,103.9045911
629613,1.319531539,103.6747041
730156,1.434210272,103.7742839
650157,1.348368995,103.7434221
429719,1.310708211,103.8988766
298345,1.332527808,103.8323257
550157,1.371156568,103.8692395
276534,1.326746586,103.7935976
509402,1.377943536,103.9585861
650158,1.348727997,103.7431939
069545,1.279788786,103.8480433
786884,1.387416842,103.8398617
428866,1.306362458,103.9060018
598652,1.344764753,103.7702802
266340,1.323425927,103.800506
545613,1.361960257,103.8729357
535159,1.362004728,103.8924219
548274,1.365311941,103.8822743
348957,1.331379738,103.8729215
779304,1.402816796,103.8135021
467332,1.316795484,103.942124
555923,1.362462776,103.8724808
548275,1.365125715,103.8823036
555818,1.361177279,103.8712195
609265,1.298785916,103.754448
546341,1.361400251,103.8806674
249773,1.300029182,103.821118
548822,1.367539181,103.8828814
467939,1.321371022,103.9478164
299950,1.33859949,103.8315888
739961,1.42874718,103.7765037
574006,1.356147328,103.8322043
309507,1.319681424,103.8378806
498772,1.351803999,103.9727681
119728,1.28005462,103.788219
259684,1.316717696,103.8131819
789933,1.389627107,103.8394553
789887,1.388802309,103.8396699
089482,1.279720183,103.8434312
429111,1.304910632,103.9021719
459194,1.309495584,103.923047
259170,1.312868656,103.8240201
069254,1.282272281,103.8470824
399911,1.309541924,103.8813116
119644,1.292106093,103.7732208
538643,1.34372673,103.8818106
229128,1.312823349,103.8426359
159308,1.284350683,103.8110684
128800,1.318046223,103.7601895
368815,1.333005091,103.8839507
418715,1.329207288,103.9079657
537308,1.360108153,103.8899991
588468,1.339899774,103.78146
339156,1.317042435,103.8660567
427099,1.307683073,103.9094416
248932,1.298824704,103.8101047
628749,1.332482078,103.6915525
267967,1.319393374,103.8052622
258681,1.31096544,103.8234568
258683,1.31096544,103.8234568
267862,1.313967374,103.7976726
417693,1.325045744,103.9125918
417425,1.324343457,103.9120757
258601,1.319510028,103.8221509
267782,1.322559507,103.7928219
426482,1.315758687,103.9032776
388708,1.313005443,103.877114
425799,1.31317541,103.9075994
425434,1.311138141,103.9087055
425304,1.310079222,103.90958
467523,1.318949193,103.9407101
437661,1.30672964,103.894066
188595,1.296444221,103.855467
546301,1.367407747,103.882111
437330,1.312040521,103.8929502
807168,1.386333794,103.8711979
597568,1.346270535,103.7647767
545901,1.36275448,103.8847851
257911,1.317398407,103.8277484
597313,1.327086109,103.7675274
437215,1.30873315,103.8931273
535500,1.34740782,103.8855248
535297,1.347143344,103.8839374
535267,1.345847343,103.8844277
534138,1.33710128,103.8884714
639413,1.323716209,103.6549588
787158,1.381544328,103.8321544
207279,1.310006539,103.8563936
588098,1.33886103,103.7818535
426785,1.315616192,103.9050527
298351,1.332851952,103.8314937
424561,1.312656067,103.8990334
786370,1.405441871,103.8223786
821160,1.395312099,103.9157082
822160,1.395225289,103.9160007
537632,1.354914384,103.8870876
349247,1.322172092,103.8749495
449527,1.304280375,103.9067693
429723,1.310980664,103.8987046
469411,1.325971987,103.9519761
150162,1.283837301,103.8174661
507439,1.364297079,103.9673619
218603,1.310450061,103.8527479
760162,1.433055407,103.8323979
821162,1.39636616,103.9142502
429902,1.308764872,103.9014995
786889,1.38735955,103.8403841
266342,1.323392758,103.8003621
821163,1.395500602,103.9140598
455261,1.314785744,103.9315307
822163,1.39563022,103.9137722
429726,1.311297239,103.8989454
427438,1.312871035,103.8997478
437951,1.299032846,103.8958917
429727,1.311119046,103.8986363
